order_date,product,category,region,channel,customer,quantity,unit_price,revenue,cost
2022-11-01,Wireless Headphones,Electronics,Europe,Partner,Cust_0015,24,89,1905.02,1238.88
2022-10-22,Cable Organizer,Accessories,Middle East,Online,Cust_0028,24,15,309.43,126.0
2022-10-13,USB-C Dock,Electronics,Middle East,Online,Cust_0013,8,99,843.33,554.4
2023-09-12,USB-C Dock,Electronics,North America,Partner,Cust_0011,15,99,1573.27,1039.5
2023-06-23,Desk Lamp,Home,Asia Pacific,Retail,Cust_0007,5,45,197.51,112.5
2022-10-17,Ergonomic Chair,Furniture,North America,Partner,Cust_0030,12,249,3020.47,2241.0
2023-08-01,Laptop Stand,Accessories,Middle East,Partner,Cust_0024,18,39,718.29,294.84
2022-09-19,Wireless Headphones,Electronics,Asia Pacific,Retail,Cust_0006,22,89,2166.71,1135.64
2022-10-21,Standing Desk,Furniture,Asia Pacific,Wholesale,Cust_0011,9,429,3710.63,3166.02
2023-02-09,Cable Organizer,Accessories,Middle East,Online,Cust_0011,9,15,136.38,47.25
2023-03-17,Mechanical Keyboard,Electronics,Asia Pacific,Wholesale,Cust_0036,15,129,1772.24,1257.75
2023-06-07,Power Bank,Accessories,Europe,Online,Cust_0003,25,49,1337.1,686.0
2023-08-24,Desk Lamp,Home,Middle East,Retail,Cust_0021,3,45,123.36,67.5
2023-12-03,Standing Desk,Furniture,Europe,Wholesale,Cust_0017,21,429,8035.03,7387.38
2023-04-05,Desk Mat,Accessories,Middle East,Wholesale,Cust_0026,19,29,528.19,286.52
2022-11-28,Noise-cancelling Mic,Electronics,North America,Online,Cust_0008,16,149,2135.71,1859.52
2022-12-20,Smart Speaker,Electronics,Middle East,Wholesale,Cust_0005,22,119,2527.5,1623.16
2023-11-01,Noise-cancelling Mic,Electronics,North America,Online,Cust_0035,9,149,1441.93,1045.98
2023-06-23,Laptop Stand,Accessories,Europe,Wholesale,Cust_0030,10,39,331.88,163.8
2023-04-05,Noise-cancelling Mic,Electronics,Middle East,Retail,Cust_0007,25,149,4139.05,2905.5
2023-05-11,Power Bank,Accessories,Europe,Retail,Cust_0024,21,49,1110.04,576.24
2022-07-10,Monitor 27in,Electronics,North America,Wholesale,Cust_0008,11,299,3712.39,1973.4
2023-05-20,USB-C Dock,Electronics,Middle East,Retail,Cust_0006,2,99,173.39,138.6
2023-11-19,Power Bank,Accessories,Europe,Retail,Cust_0031,3,49,166.71,82.32
2022-12-26,Desk Lamp,Home,Europe,Wholesale,Cust_0035,17,45,823.58,382.5
2023-01-31,Desk Mat,Accessories,Asia Pacific,Wholesale,Cust_0029,10,29,324.77,150.8
2023-10-15,Laptop Stand,Accessories,North America,Retail,Cust_0022,8,39,267.17,131.04
2023-03-02,Monitor 27in,Electronics,North America,Online,Cust_0004,8,299,2197.49,1435.2
2022-08-11,Power Bank,Accessories,Middle East,Online,Cust_0016,11,49,503.18,301.84
2023-11-19,USB-C Dock,Electronics,Middle East,Retail,Cust_0037,18,99,1767.39,1247.4
2023-11-06,Smart Speaker,Electronics,North America,Retail,Cust_0007,14,119,1745.46,1032.92
2023-07-07,Standing Desk,Furniture,North America,Wholesale,Cust_0007,14,429,5214.31,4924.92
2023-06-22,Smart Speaker,Electronics,Europe,Retail,Cust_0013,4,119,481.18,295.12
2022-11-30,Standing Desk,Furniture,South America,Partner,Cust_0016,6,429,2863.18,2110.68
2022-09-25,Webcam HD,Electronics,North America,Online,Cust_0035,18,79,1565.35,952.74
2022-10-13,Fitness Tracker,Electronics,Europe,Retail,Cust_0027,25,139,3460.03,2467.25
2023-02-13,Power Bank,Accessories,Europe,Online,Cust_0025,13,49,541.86,356.72
2023-08-13,Desk Lamp,Home,South America,Partner,Cust_0036,15,45,707.78,337.5
2023-11-20,Mechanical Keyboard,Electronics,Europe,Partner,Cust_0004,7,129,924.45,586.95
2022-09-10,Desk Mat,Accessories,North America,Online,Cust_0038,11,29,316.78,165.88
2022-12-18,Wireless Headphones,Electronics,Europe,Online,Cust_0005,17,89,1556.14,877.54
2023-03-07,Standing Desk,Furniture,Middle East,Retail,Cust_0039,4,429,1479.06,1407.12
2022-10-01,Standing Desk,Furniture,Asia Pacific,Partner,Cust_0014,22,429,9918.56,7739.16
2023-05-27,USB-C Dock,Electronics,Europe,Wholesale,Cust_0020,9,99,879.57,623.7
2022-09-22,Wireless Headphones,Electronics,North America,Online,Cust_0035,15,89,1220.12,774.3
2023-04-07,Mechanical Keyboard,Electronics,Europe,Online,Cust_0024,12,129,1448.15,1006.2
2023-10-01,Power Bank,Accessories,Middle East,Partner,Cust_0034,18,49,751.77,493.92
2023-05-12,Fitness Tracker,Electronics,Europe,Online,Cust_0017,22,139,2705.19,2171.18
2022-10-27,Desk Mat,Accessories,Asia Pacific,Retail,Cust_0019,18,29,538.42,271.44
2023-06-26,USB-C Dock,Electronics,Middle East,Partner,Cust_0032,22,99,2015.38,1524.6
2022-08-31,Laptop Stand,Accessories,Asia Pacific,Wholesale,Cust_0003,21,39,697.02,343.98
2022-11-20,Cable Organizer,Accessories,South America,Retail,Cust_0036,9,15,143.33,47.25
2022-07-19,Laptop Stand,Accessories,Middle East,Retail,Cust_0003,3,39,128.74,49.14
2022-12-08,Standing Desk,Furniture,Asia Pacific,Online,Cust_0024,5,429,2401.74,1758.9
2022-08-19,Fitness Tracker,Electronics,Europe,Retail,Cust_0007,12,139,1594.78,1184.28
2023-08-30,Monitor 27in,Electronics,Europe,Retail,Cust_0011,24,299,8201.18,4305.6
2023-01-07,Fitness Tracker,Electronics,Europe,Online,Cust_0022,14,139,2110.86,1381.66
2023-09-04,Smart Speaker,Electronics,Asia Pacific,Retail,Cust_0011,22,119,2843.7,1623.16
2022-10-28,Standing Desk,Furniture,Europe,Wholesale,Cust_0013,2,429,939.49,703.56
2023-10-24,Ergonomic Chair,Furniture,Europe,Retail,Cust_0002,10,249,2609.54,1867.5
2023-08-22,Ergonomic Chair,Furniture,Asia Pacific,Online,Cust_0023,9,249,2336.12,1680.75
2023-08-23,Cable Organizer,Accessories,North America,Partner,Cust_0008,18,15,300.54,94.5
2023-04-03,Mechanical Keyboard,Electronics,North America,Partner,Cust_0007,19,129,2522.01,1593.15
2023-06-28,Desk Mat,Accessories,Middle East,Wholesale,Cust_0033,11,29,282.22,165.88
2023-01-20,Desk Lamp,Home,North America,Wholesale,Cust_0034,2,45,101.49,45.0
2023-01-27,Ergonomic Chair,Furniture,Asia Pacific,Online,Cust_0040,14,249,3291.39,2614.5
2022-11-14,Desk Mat,Accessories,South America,Partner,Cust_0021,10,29,281.51,150.8
2023-05-08,Noise-cancelling Mic,Electronics,South America,Retail,Cust_0025,5,149,784.63,581.1
2023-01-04,Monitor 27in,Electronics,South America,Partner,Cust_0036,19,299,6249.77,3408.6
2023-05-17,Desk Lamp,Home,Middle East,Wholesale,Cust_0039,7,45,329.62,157.5
2023-10-29,Webcam HD,Electronics,Middle East,Retail,Cust_0031,15,79,1289.42,793.95
2022-12-30,Cable Organizer,Accessories,Middle East,Partner,Cust_0040,3,15,42.78,15.75
2023-03-07,Cable Organizer,Accessories,Europe,Retail,Cust_0010,10,15,128.6,52.5
2023-03-17,Webcam HD,Electronics,South America,Online,Cust_0027,20,79,1763.03,1058.6
2023-01-25,Desk Mat,Accessories,South America,Wholesale,Cust_0026,23,29,615.77,346.84
2022-07-15,Fitness Tracker,Electronics,South America,Online,Cust_0015,25,139,3137.11,2467.25
2023-12-22,Webcam HD,Electronics,North America,Retail,Cust_0030,2,79,140.62,105.86
2023-10-28,Cable Organizer,Accessories,South America,Partner,Cust_0040,17,15,279.1,89.25
2023-12-08,Standing Desk,Furniture,Europe,Wholesale,Cust_0031,18,429,7606.33,6332.04
2023-03-20,Power Bank,Accessories,Middle East,Partner,Cust_0032,21,49,1068.13,576.24
